knockout,kept,kept_relative_change,error,SampleID
hallii,champanellensis,-0.6189562894508475,None,champanellensis_hallii
champanellensis,hallii,0.3490051283499069,None,champanellensis_hallii
stercoris,hallii,-0.7326696853292716,None,hallii_stercoris
hallii,stercoris,0.048118012324935074,None,hallii_stercoris
virosa,bolteae,0.007763712463692185,None,bolteae_virosa
bolteae,virosa,-0.4998335729683651,None,bolteae_virosa
wexlerae,virosa,-0.00016670050604463636,None,virosa_wexlerae
virosa,wexlerae,-0.4547597665576295,None,virosa_wexlerae
virosa,hadrus,0.46221787661666025,None,hadrus_virosa
hadrus,virosa,1.326694996012829,None,hadrus_virosa
stercoris,catus,-0.8202939385964549,None,catus_stercoris
catus,stercoris,0.3026514257905916,None,catus_stercoris
eligens,comes,-0.48968414503966956,None,comes_eligens
comes,eligens,0.06417964008702362,None,comes_eligens
ramulus,cf_,0.8979400391798515,None,cf__ramulus
cf_,ramulus,0.0786634531470292,None,cf__ramulus
champanellensis,cf_,0.4061647690042523,None,cf__champanellensis
cf_,champanellensis,-0.26497194620814823,None,cf__champanellensis
splanchnicus,cf_,0.3192927846879886,None,cf__splanchnicus
cf_,splanchnicus,-0.31924545890781353,None,cf__splanchnicus
clara,bolteae,-0.7376141565674561,None,bolteae_clara
bolteae,clara,-0.5259486524343604,None,bolteae_clara
comes,clara,-0.0011073219740683313,None,clara_comes
clara,comes,-0.40410012583483035,None,clara_comes
vulgatus,ventriosum,-0.2773248555350155,None,ventriosum_vulgatus
ventriosum,vulgatus,0.35389566319012816,None,ventriosum_vulgatus
muciniphila,bromii,-0.7106376466394354,None,bromii_muciniphila
bromii,muciniphila,26107439.189779494,None,bromii_muciniphila
ventriosum,copri,0.09911472053085514,None,copri_ventriosum
copri,ventriosum,0.4650997886165236,None,copri_ventriosum
hallii,copri,-0.0559757567901719,None,copri_hallii
copri,hallii,0.042924636556804945,None,copri_hallii
wexlerae,copri,-0.2137244800599609,None,copri_wexlerae
copri,wexlerae,-0.017448031474221293,None,copri_wexlerae
hadrus,copri,-0.13182441321503152,None,copri_hadrus
copri,hadrus,-0.011315801050878416,None,copri_hadrus
wadsworthensis,hallii,-0.1132441264538847,None,hallii_wadsworthensis
hallii,wadsworthensis,-0.23473655819909148,None,hallii_wadsworthensis
wexlerae,wadsworthensis,-0.5667843040252302,None,wadsworthensis_wexlerae
wadsworthensis,wexlerae,-0.15270956561952567,None,wadsworthensis_wexlerae
